,장소,주차장수,면수,주차장수 대비 면수
0,서울특별시 강남구 대치동 도곡로 510 주변,2.0,111.0,55.5
1,서울특별시 강남구 대치동 삼성로 237 주변,2.0,111.0,55.5
2,서울특별시 강남구 논현동 학동로6길 48 주변,22.0,1032.0,46.90909090909091
3,서울특별시 강남구 청담동 서울 강남구 청담동 77,2.0,31.0,15.5
4,서울특별시 강남구 역삼동 도곡로7길 22 주변,5.0,691.0,138.2
5,서울특별시 강남구 역삼동 선릉로69길 20 주변,1.0,138.0,138.0
6,서울특별시 강남구 압구정동 압구정로29길 72-1 주변,0.0,0.0,0.0
7,서울특별시 강남구 청담동 도산대로 442 주변,3.0,76.0,25.333333333333332
8,서울특별시 강남구 역삼동 테헤란로 152 주변,8.0,1918.0,239.75
9,서울특별시 강남구 논현동 강남대로118길 49 주변,17.0,1209.0,71.11764705882354
10,서울특별시 강남구 역삼동 논현로85길 52 주변,26.0,2787.0,107.1923076923077
11,서울특별시 강남구 역삼동 테헤란로 223 주변,10.0,2577.0,257.7
12,서울특별시 강남구 역삼동 언주로85길 23-11 주변,10.0,2577.0,257.7
13,서울특별시 강남구 대치동 대치동 1027-1 주변,2.0,164.0,82.0
14,서울특별시 강남구 역삼동 논현로 429 주변,9.0,1965.0,218.33333333333334
15,서울특별시 강남구 압구정동 압구정로 401 주변,0.0,0.0,0.0
16,서울특별시 강남구 논현2동 도산대로 부근,14.0,462.0,33.0
17,서울특별시 강남구 역삼동 테헤란로4길 46,25.0,2237.0,89.48
18,서울특별시 강남구 대치동 영동대로86길 17 주변,10.0,2944.0,294.4
19,서울특별시 강남구 대치동 도곡로 450 주변,3.0,249.0,83.0
20,서울특별시 강남구 역삼동 테헤란로 205 주변,9.0,2477.0,275.22222222222223
21,서울특별시 강남구 역삼동 역삼동 701-14 주변,11.0,2516.0,228.72727272727272
22,서울특별시 강남구 논현동 학동로6길 19 주변,18.0,710.0,39.44444444444444
23,서울특별시 강남구 역삼동 언주로 510 주변,11.0,2516.0,228.72727272727272
24,서울특별시 강남구 대치동 삼성로51길 37 주변,1.0,138.0,138.0
25,서울특별시 강남구 일원동 광평로10길 6 주변,0.0,0.0,0.0
26,서울특별시 강남구 역삼동 언주로86길 12 주변,12.0,2589.0,215.75
27,서울특별시 강남구 대치동 도곡로 524 주변,2.0,111.0,55.5
28,서울특별시 강남구 역삼동 테헤란로25길 9 주변,10.0,1888.0,188.8
29,서울특별시 강남구 역삼동 테헤란로 326 주변,12.0,2425.0,202.08333333333334
30,서울특별시 강남구 수서동 광평로51길 8 주변,0.0,0.0,0.0
31,서울특별시 강남구 논현동 238-5,15.0,1652.0,110.13333333333334
32,서울특별시 강남구 개포동 185 주공아파트,0.0,0.0,0.0
