,주차장명,주소,총 주차면,위도,경도
0,8 Seconds주차장,강남구 신사동 535-12,7,37.5193528,127.0228693
1,A Tower 주차장,강남구 역삼동 822-1,31,37.4986077,127.0285162
2,C&H빌딩주차장,강남구 삼성동 154-8,132,37.5099243,127.0577035
3,CBA 주차장,강남구 신사동 612-1,65,37.5269418,127.0296886
4,CNNBiz강남교육센터 주차장,강남구 역삼동 619-16,20,37.5014628,127.0269512
5,ES타워 주차장,강남구 논현동 201-12,23,37.5051629,127.0256851
6,GE타워 부설주차장,강남구 청담동 71-3,102,37.5212817,127.0557427
7,GS타임즈 영동프라자 주차장,강남구 논현동 140-0,121,37.5099329,127.0238133
8,GS타임즈 헤리츠컨벤션 주차장,강남구 논현동 215-0,172,37.5131786,127.0314855
9,HK빌딩 주차장,강남구 논현동 199-2,34,37.5055881,127.0243619
10,JBK타워 주차장,강남구 삼성동 108-6,38,37.5149998,127.0631169
11,KT&G타워 주차장,강남구 대치동 1002-0,713,37.5065419,127.0653161
12,KT선릉타워,강남구 대치동 890-20,157,37.505282,127.0528475
13,LIG강남타워 부설주차장,강남구 역삼동 649-11,106,37.4991617,127.0302506
14,LS빌딩 주차장,강남구 논현동 144-8,25,37.508991,127.0234388
15,MG타워 주차장,강남구 신사동 512-9,30,37.5179117,127.0213044
16,NJ빌딩 부설주차장,강남구 신사동 602-0,137,37.5242994,127.0294095
17,PCA라이프타워 부설주차장,강남구 역삼동 706-0,81,37.5023915,127.0434618
18,SI타워 부설주차장,강남구 역삼동 679-4,515,37.5015422,127.0377408
19,SK허브블루 지하주차장,강남구 논현동 241-3,134,37.516722,127.0408208
20,Y&K빌딩 주차장,강남구 논현동 111-20,9,37.5189108,127.0403991
21,YBM강남센터빌딩 부설주차장,강남구 역삼동 820-8,99,37.4991753,127.0275226
22,강남 8258빌딩 주차장,강남구 역삼동 825-8,37,37.4964782,127.0286919
23,강남N타워 주차장,강남구 역삼동 648-9,197,37.5000397,127.0320612
24,강남POBA타워,강남구 논현동 119-0,181,37.517398,127.0406221
25,강남구보건소 주차장,강남구 삼성동 8-0,44,37.5163592,127.0420799
26,강남구청,강남구 삼성동 16-1,185,37.5175282,127.0474699
27,강남메이저의원,강남구 대치동 1021-4,26,37.4979914,127.059931
28,강남세브란스병원,강남구 도곡동 146-92,735,37.492736,127.0462661
29,강남센타빌딩,강남구 역삼동 825-13,146,37.4974272,127.0283935
30,강남역 센트럴푸르지오시티 ..,강남구 역삼동 825-20,398,37.4977172,127.0291474
31,강남차병원,강남구 역삼동 650-9,173,37.5065713,127.0348
32,강남출판문화회관 주차장,강남구 신사동 506-0,47,37.5207424,127.0194099
33,강림빌딩 주차장,강남구 역삼동 618-8,20,37.5032514,127.0282637
34,거평타운오피스텔 주차장,강남구 논현동 203-1,271,37.5058828,127.0283077
35,건설회관 주차장,강남구 논현동 71-2,437,37.5173236,127.034148
36,건우빌딩 주차장,강남구 논현동 120-0,21,37.511,127.0218788
37,경복빌 주차장,강남구 논현동 242-38,20,37.5151835,127.0406516
38,광림교회 사회봉사관 주차장,강남구 신사동 568-2,686,37.5238342,127.0251165
39,구정빌딩 주차장,강남구 신사동 577-7,24,37.5252259,127.0273599
40,국제음악예술대학 주차장,강남구 논현동 79-0,6,37.5168791,127.0310327
41,군인공제회 회관 부설주차장,강남구 도곡동 467-12,656,37.4890581,127.0528941
42,그레이스타워,강남구 역삼동 648-19,181,37.4996619,127.0320322
43,극동 주차장,강남구 논현동 17-5,20,37.5149825,127.0203393
44,글라스타워빌딩 부설주차장,강남구 대치동 946-8,405,37.5080837,127.06283
45,금하빌딩,강남구 청담동 41-2,316,37.5175829,127.0416468
46,금호빌딩 주차장,강남구 신사동 572-2,16,37.5248302,127.0253728
47,나무빌딩주차장,강남구 신사동 666-10,45,37.5238945,127.0389528
48,남양빌딩 주차장,강남구 논현동 122-2,18,37.5114096,127.023353
49,노벨빌딩,강남구 논현동 111-13,80,37.5179438,127.0402667
50,논현웰스톤 주차장,강남구 논현동 108-0,91,37.5184174,127.0380027
51,논현주차장,강남구 논현동 60-3,3,37.5196218,127.029487
52,농협은행 신사동금융센터 주차장,강남구 신사동 514-7,18,37.5175259,127.0220481
