,주소,주차장명,위도,경도,총주차면,분당기본요금,주차장등급
0,강남구 개포동 1222-2,승리주차장(민영),37.4764073,127.0481911,15,66.67,3
1,강남구 신사동 515-0,승영주차장(민영),37.5180814,127.0215579,10,6.67,3
2,강남구 신사동 636-17,시온주차장(민영),37.5275815,127.0350713,16,300.0,3
3,강남구 신사동 529-5,신사동 529 주차장(민영),37.5230846,127.0214099,11,100.0,3
4,강남구 개포동 1176-3,신설주차장(민영),37.4738579,127.05274,15,66.67,3
5,강남구 세곡동 613,알 파킹 주차장(민영),37.4692712,127.1073203,130,100.0,3
6,강남구 압구정동 664-23,압구정주차장(민영),37.531684,127.0302926,14,80.0,3
7,강남구 논현동 97-2,엠 파킹(민영),37.5209725,127.0352141,19,100.0,3
8,강남구 역삼동 627-3,우진주차장(민영),37.5039603,127.0336155,20,100.0,3
9,강남구 세곡동 606-0,워시존 강남점(민영),37.4692712,127.1073203,21,100.0,3
10,강남구 대치동 980-5,원수유료주차장(민영),37.5025133,127.0632729,53,66.67,3
11,강남구 청담동 83-10,유료주차장(민영),37.5258306,127.0411409,38,100.0,3
12,강남구 대치통 982-3,임마누엘교회 주차장(민영),37.5022524,127.0647917,22,100.0,3
13,강남구 역삼동 638-2,장원주차장(민영),37.5025022,127.0334771,20,100.0,3
14,강남구 역삼동 629-5,제일유료주차장(민영),37.5034211,127.0342264,33,66.67,3
15,강남구 삼성동 158-5,제일주차장(민영),37.5081117,127.0579593,60,100.0,3
16,강남구 대치동 1000-4,제일주차장(민영),37.5075555,127.0659923,20,66.67,3
17,강남구 논현동 206-4,진영주차장(민영),37.5072047,127.0318217,30,66.67,3
18,강남구 압구정동 645-3,청구주차장(민영),37.531684,127.0302926,24,66.67,3
19,강남구 청담동 121-24,청담주차장(민영),37.5251734,127.0483457,26,100.0,3
20,강남구 청담동 91-6,청담주차장(민영),37.5242761,127.042567,30,100.0,3
21,강남구 논현동 215-13,청운 민영 주차장(민영),37.5126162,127.0321307,25,66.67,3
22,강남구 역삼동 779-20,청운교회 주차장(민영),37.4961598,127.0449029,17,73.28,3
23,강남구 대치동 949-1,코니주차장(민영),37.5055654,127.0643274,20,66.67,3
24,강남구 역삼동 738-8,포장마차주차장(민영),37.4990547,127.0372276,16,66.67,3
25,강남구 역삼동 788-31,하나로 주차장(민영),37.493015,127.0416646,26,66.67,3
26,강남구 역삼동 621-0,하나주차장(민영),37.5018278,127.0277167,27,66.67,3
27,강남구 청담동 96-28,한남주차장(민영),37.5249109,127.0458499,70,200.0,3
28,강남구 청담동 96-27,한남주차장(민영),37.5250281,127.0457443,75,100.0,3
29,강남구 삼성동 148-0,한일주차장(민영),37.5121058,127.0561253,28,66.67,3
30,강남구 논현동 133-5,행운유료주차장(민영),37.5114186,127.0290367,30,66.67,3
31,강남구 도곡동 455-5,행운주차장(민영),37.482569,127.045544,14,50.0,3
32,강남구 역삼동 626-23,현대주차장(민영),37.5035101,127.0328839,35,66.67,3
33,강남구 역삼동 640-10,현대주차장(민영),37.5022016,127.0345091,12,66.67,3
34,강남구 삼성동 148-1,현대주차장(민영),37.5122016,127.0564985,40,100.0,3
35,강남구 삼성동 149-0,119주차장(민영),37.5119432,127.0555086,19,66.67,3
36,강남구 신사동 662-12,DS 디에스 유료주차장(민..,37.5269057,127.0388338,20,300.0,3
37,강남구 삼성동 161-10,GS타임즈 삼성동3(민영),37.5141221,127.0630011,8,50.0,3
38,강남구 대치동 995-28,GS타임즈 삼성역 주차장(민영),37.5084472,127.0645832,21,73.28,3
39,강남구 역삼동 621-4,강남 24시 주차장(민영),37.5021128,127.0282988,16,50.0,3
40,강남구 논현동 123-11,강남구 민자유치 논현1호주차장(민영),37.5106368,127.0245948,100,80.0,3
41,강남구 논현동 127-14,강남구 민자유치 논현2호주차장(민영),37.5121697,127.0285508,87,80.0,3
42,강남구 논현동 117-7,강남구 민자유치 논현3호 주차장(민영),37.5169137,127.0385717,214,80.0,3
43,강남구 대치동 962-23,강남구 민자유치 대치주차장(민영),37.5018113,127.0597372,84,80.0,3
44,강남구 개포동 1238-5,강남유료주차장(민영),37.4783216,127.0460152,20,66.67,3
45,강남구 논현동 65-1,강남주차장(민영),37.5191454,127.0297319,16,66.67,3
46,강남구 역삼동 828-32,강남주차장(민영),37.4968313,127.0339551,30,100.0,3
